sdg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
11.0,346827000.0,346827000.0,346827000.0,346827000.0,346827000.0,346827000.0,346827000.0,346827000.0,346827000.0,346827000.0,346827000.0,346827000.0,110363000.0,110363000.0,110363000.0,110363000.0,110363000.0,110363000.0,110363000.0,110363000.0,110363000.0,110363000.0,110363000.0,110363000.0,302328000.0,302328000.0,302328000.0,302328000.0,302328000.0,302328000.0,302328000.0,302328000.0,302328000.0,302328000.0,302328000.0,302328000.0,1932338500.0,1932338500.0,1932338500.0,1932338500.0,1932338500.0,1932338500.0,1932338500.0,1932338500.0,1932338500.0,1932338500.0,1932338500.0,1932338500.0,710425000.0,710425000.0,710425000.0,710425000.0,710425000.0,710425000.0,710425000.0,710425000.0,710425000.0,710425000.0,710425000.0,710425000.0
12.0,1801731500.0,1801731500.0,1801731500.0,1801731500.0,1801731500.0,1801731500.0,1801731500.0,1801731500.0,1801731500.0,1801731500.0,1801731500.0,1801731500.0,1158340500.0,1158340500.0,1158340500.0,1158340500.0,1158340500.0,1158340500.0,1158340500.0,1158340500.0,1158340500.0,1158340500.0,1158340500.0,1158340500.0,2128378500.0,2128378500.0,2128378500.0,2128378500.0,2128378500.0,2128378500.0,2128378500.0,2128378500.0,2128378500.0,2128378500.0,2128378500.0,2128378500.0,3635254000.0,3635254000.0,3635254000.0,3635254000.0,3635254000.0,3635254000.0,3635254000.0,3635254000.0,3635254000.0,3635254000.0,3635254000.0,3635254000.0,1465453500.0,1465453500.0,1465453500.0,1465453500.0,1465453500.0,1465453500.0,1465453500.0,1465453500.0,1465453500.0,1465453500.0,1465453500.0,1465453500.0
21.0,202000000000.0,202000000000.0,202000000000.0,202000000000.0,202000000000.0,202000000000.0,202000000000.0,202000000000.0,202000000000.0,202000000000.0,202000000000.0,202000000000.0,310000000000.0,310000000000.0,310000000000.0,310000000000.0,310000000000.0,310000000000.0,310000000000.0,310000000000.0,310000000000.0,310000000000.0,310000000000.0,310000000000.0,26951874500.0,26951874500.0,26951874500.0,26951874500.0,26951874500.0,26951874500.0,26951874500.0,26951874500.0,26951874500.0,26951874500.0,26951874500.0,26951874500.0,2430075000.0,2430075000.0,2430075000.0,2430075000.0,2430075000.0,2430075000.0,2430075000.0,2430075000.0,2430075000.0,2430075000.0,2430075000.0,2430075000.0,9116751000.0,9116751000.0,9116751000.0,9116751000.0,9116751000.0,9116751000.0,9116751000.0,9116751000.0,9116751000.0,9116751000.0,9116751000.0,9116751000.0
22.0,1639301000.0,1639301000.0,1639301000.0,1639301000.0,1639301000.0,1639301000.0,1639301000.0,1639301000.0,1639301000.0,1639301000.0,1639301000.0,1639301000.0,5711460500.0,5711460500.0,5711460500.0,5711460500.0,5711460500.0,5711460500.0,5711460500.0,5711460500.0,5711460500.0,5711460500.0,5711460500.0,5711460500.0,5852972500.0,5852972500.0,5852972500.0,5852972500.0,5852972500.0,5852972500.0,5852972500.0,5852972500.0,5852972500.0,5852972500.0,5852972500.0,5852972500.0,4609968000.0,4609968000.0,4609968000.0,4609968000.0,4609968000.0,4609968000.0,4609968000.0,4609968000.0,4609968000.0,4609968000.0,4609968000.0,4609968000.0,3895991500.0,3895991500.0,3895991500.0,3895991500.0,3895991500.0,3895991500.0,3895991500.0,3895991500.0,3895991500.0,3895991500.0,3895991500.0,3895991500.0
23.0,1102958500.0,1102958500.0,1102958500.0,1102958500.0,1102958500.0,1102958500.0,1102958500.0,1102958500.0,1102958500.0,1102958500.0,1102958500.0,1102958500.0,900447500.0,900447500.0,900447500.0,900447500.0,900447500.0,900447500.0,900447500.0,900447500.0,900447500.0,900447500.0,900447500.0,900447500.0,315962000.0,315962000.0,315962000.0,315962000.0,315962000.0,315962000.0,315962000.0,315962000.0,315962000.0,315962000.0,315962000.0,315962000.0,665569000.0,665569000.0,665569000.0,665569000.0,665569000.0,665569000.0,665569000.0,665569000.0,665569000.0,665569000.0,665569000.0,665569000.0,825083000.0,825083000.0,825083000.0,825083000.0,825083000.0,825083000.0,825083000.0,825083000.0,825083000.0,825083000.0,825083000.0,825083000.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268585500.0,268585500.0,268585500.0,268585500.0,268585500.0,268585500.0,268585500.0,268585500.0,268585500.0,268585500.0,268585500.0,268585500.0,410483500.0,410483500.0,410483500.0,410483500.0,410483500.0,410483500.0,410483500.0,410483500.0,410483500.0,410483500.0,410483500.0,410483500.0,582782000.0,582782000.0,582782000.0,582782000.0,582782000.0,582782000.0,582782000.0,582782000.0,582782000.0,582782000.0,582782000.0,582782000.0
32.0,22272239500.0,22272239500.0,22272239500.0,22272239500.0,22272239500.0,22272239500.0,22272239500.0,22272239500.0,22272239500.0,22272239500.0,22272239500.0,22272239500.0,49247576000.0,49247576000.0,49247576000.0,49247576000.0,49247576000.0,49247576000.0,49247576000.0,49247576000.0,49247576000.0,49247576000.0,49247576000.0,49247576000.0,14936624500.0,14936624500.0,14936624500.0,14936624500.0,14936624500.0,14936624500.0,14936624500.0,14936624500.0,14936624500.0,14936624500.0,14936624500.0,14936624500.0,6346721500.0,6346721500.0,6346721500.0,6346721500.0,6346721500.0,6346721500.0,6346721500.0,6346721500.0,6346721500.0,6346721500.0,6346721500.0,6346721500.0,203000000000.0,203000000000.0,203000000000.0,203000000000.0,203000000000.0,203000000000.0,203000000000.0,203000000000.0,203000000000.0,203000000000.0,203000000000.0,203000000000.0
33.0,3415829500.0,3415829500.0,3415829500.0,3415829500.0,3415829500.0,3415829500.0,3415829500.0,3415829500.0,3415829500.0,3415829500.0,3415829500.0,3415829500.0,3718899000.0,3718899000.0,3718899000.0,3718899000.0,3718899000.0,3718899000.0,3718899000.0,3718899000.0,3718899000.0,3718899000.0,3718899000.0,3718899000.0,2564101000.0,2564101000.0,2564101000.0,2564101000.0,2564101000.0,2564101000.0,2564101000.0,2564101000.0,2564101000.0,2564101000.0,2564101000.0,2564101000.0,4716446500.0,4716446500.0,4716446500.0,4716446500.0,4716446500.0,4716446500.0,4716446500.0,4716446500.0,4716446500.0,4716446500.0,4716446500.0,4716446500.0,2295201500.0,2295201500.0,2295201500.0,2295201500.0,2295201500.0,2295201500.0,2295201500.0,2295201500.0,2295201500.0,2295201500.0,2295201500.0,2295201500.0
41.0,3186560000.0,3186560000.0,3186560000.0,3186560000.0,3186560000.0,3186560000.0,3186560000.0,3186560000.0,3186560000.0,3186560000.0,3186560000.0,3186560000.0,4340754000.0,4340754000.0,4340754000.0,4340754000.0,4340754000.0,4340754000.0,4340754000.0,4340754000.0,4340754000.0,4340754000.0,4340754000.0,4340754000.0,3019218500.0,3019218500.0,3019218500.0,3019218500.0,3019218500.0,3019218500.0,3019218500.0,3019218500.0,3019218500.0,3019218500.0,3019218500.0,3019218500.0,2355728000.0,2355728000.0,2355728000.0,2355728000.0,2355728000.0,2355728000.0,2355728000.0,2355728000.0,2355728000.0,2355728000.0,2355728000.0,2355728000.0,1427205000.0,1427205000.0,1427205000.0,1427205000.0,1427205000.0,1427205000.0,1427205000.0,1427205000.0,1427205000.0,1427205000.0,1427205000.0,1427205000.0
42.0,14712615500.0,14712615500.0,14712615500.0,14712615500.0,14712615500.0,14712615500.0,14712615500.0,14712615500.0,14712615500.0,14712615500.0,14712615500.0,14712615500.0,5718513500.0,5718513500.0,5718513500.0,5718513500.0,5718513500.0,5718513500.0,5718513500.0,5718513500.0,5718513500.0,5718513500.0,5718513500.0,5718513500.0,6643566500.0,6643566500.0,6643566500.0,6643566500.0,6643566500.0,6643566500.0,6643566500.0,6643566500.0,6643566500.0,6643566500.0,6643566500.0,6643566500.0,7117240500.0,7117240500.0,7117240500.0,7117240500.0,7117240500.0,7117240500.0,7117240500.0,7117240500.0,7117240500.0,7117240500.0,7117240500.0,7117240500.0,4250963500.0,4250963500.0,4250963500.0,4250963500.0,4250963500.0,4250963500.0,4250963500.0,4250963500.0,4250963500.0,4250963500.0,4250963500.0,4250963500.0
43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1742231000.0,1742231000.0,1742231000.0,1742231000.0,1742231000.0,1742231000.0,1742231000.0,1742231000.0,1742231000.0,1742231000.0,1742231000.0,1742231000.0,3771185000.0,3771185000.0,3771185000.0,3771185000.0,3771185000.0,3771185000.0,3771185000.0,3771185000.0,3771185000.0,3771185000.0,3771185000.0,3771185000.0,11969484500.0,11969484500.0,11969484500.0,11969484500.0,11969484500.0,11969484500.0,11969484500.0,11969484500.0,11969484500.0,11969484500.0,11969484500.0,11969484500.0,2579029000.0,2579029000.0,2579029000.0,2579029000.0,2579029000.0,2579029000.0,2579029000.0,2579029000.0,2579029000.0,2579029000.0,2579029000.0,2579029000.0
44.0,26758878500.0,26758878500.0,26758878500.0,26758878500.0,26758878500.0,26758878500.0,26758878500.0,26758878500.0,26758878500.0,26758878500.0,26758878500.0,26758878500.0,23074716000.0,23074716000.0,23074716000.0,23074716000.0,23074716000.0,23074716000.0,23074716000.0,23074716000.0,23074716000.0,23074716000.0,23074716000.0,23074716000.0,922347000.0,922347000.0,922347000.0,922347000.0,922347000.0,922347000.0,922347000.0,922347000.0,922347000.0,922347000.0,922347000.0,922347000.0,1094137500.0,1094137500.0,1094137500.0,1094137500.0,1094137500.0,1094137500.0,1094137500.0,1094137500.0,1094137500.0,1094137500.0,1094137500.0,1094137500.0,1647485000.0,1647485000.0,1647485000.0,1647485000.0,1647485000.0,1647485000.0,1647485000.0,1647485000.0,1647485000.0,1647485000.0,1647485000.0,1647485000.0
45.0,62925000.0,62925000.0,62925000.0,62925000.0,62925000.0,62925000.0,62925000.0,62925000.0,62925000.0,62925000.0,62925000.0,62925000.0,123982000.0,123982000.0,123982000.0,123982000.0,123982000.0,123982000.0,123982000.0,123982000.0,123982000.0,123982000.0,123982000.0,123982000.0,41306000.0,41306000.0,41306000.0,41306000.0,41306000.0,41306000.0,41306000.0,41306000.0,41306000.0,41306000.0,41306000.0,41306000.0,371541000.0,371541000.0,371541000.0,371541000.0,371541000.0,371541000.0,371541000.0,371541000.0,371541000.0,371541000.0,371541000.0,371541000.0,310155000.0,310155000.0,310155000.0,310155000.0,310155000.0,310155000.0,310155000.0,310155000.0,310155000.0,310155000.0,310155000.0,310155000.0
46.0,328798000.0,328798000.0,328798000.0,328798000.0,328798000.0,328798000.0,328798000.0,328798000.0,328798000.0,328798000.0,328798000.0,328798000.0,377666500.0,377666500.0,377666500.0,377666500.0,377666500.0,377666500.0,377666500.0,377666500.0,377666500.0,377666500.0,377666500.0,377666500.0,1701559500.0,1701559500.0,1701559500.0,1701559500.0,1701559500.0,1701559500.0,1701559500.0,1701559500.0,1701559500.0,1701559500.0,1701559500.0,1701559500.0,7963668000.0,7963668000.0,7963668000.0,7963668000.0,7963668000.0,7963668000.0,7963668000.0,7963668000.0,7963668000.0,7963668000.0,7963668000.0,7963668000.0,1031573000.0,1031573000.0,1031573000.0,1031573000.0,1031573000.0,1031573000.0,1031573000.0,1031573000.0,1031573000.0,1031573000.0,1031573000.0,1031573000.0
51.0,187394000.0,187394000.0,187394000.0,187394000.0,187394000.0,187394000.0,187394000.0,187394000.0,187394000.0,187394000.0,187394000.0,187394000.0,71947000.0,71947000.0,71947000.0,71947000.0,71947000.0,71947000.0,71947000.0,71947000.0,71947000.0,71947000.0,71947000.0,71947000.0,471226500.0,471226500.0,471226500.0,471226500.0,471226500.0,471226500.0,471226500.0,471226500.0,471226500.0,471226500.0,471226500.0,471226500.0,795525500.0,795525500.0,795525500.0,795525500.0,795525500.0,795525500.0,795525500.0,795525500.0,795525500.0,795525500.0,795525500.0,795525500.0,264476500.0,264476500.0,264476500.0,264476500.0,264476500.0,264476500.0,264476500.0,264476500.0,264476500.0,264476500.0,264476500.0,264476500.0
52.0,52258000.0,52258000.0,52258000.0,52258000.0,52258000.0,52258000.0,52258000.0,52258000.0,52258000.0,52258000.0,52258000.0,52258000.0,63995000.0,63995000.0,63995000.0,63995000.0,63995000.0,63995000.0,63995000.0,63995000.0,63995000.0,63995000.0,63995000.0,63995000.0,558581500.0,558581500.0,558581500.0,558581500.0,558581500.0,558581500.0,558581500.0,558581500.0,558581500.0,558581500.0,558581500.0,558581500.0,553479000.0,553479000.0,553479000.0,553479000.0,553479000.0,553479000.0,553479000.0,553479000.0,553479000.0,553479000.0,553479000.0,553479000.0,169519500.0,169519500.0,169519500.0,169519500.0,169519500.0,169519500.0,169519500.0,169519500.0,169519500.0,169519500.0,169519500.0,169519500.0
54.0,838619500.0,838619500.0,838619500.0,838619500.0,838619500.0,838619500.0,838619500.0,838619500.0,838619500.0,838619500.0,838619500.0,838619500.0,406450000.0,406450000.0,406450000.0,406450000.0,406450000.0,406450000.0,406450000.0,406450000.0,406450000.0,406450000.0,406450000.0,406450000.0,343277000.0,343277000.0,343277000.0,343277000.0,343277000.0,343277000.0,343277000.0,343277000.0,343277000.0,343277000.0,343277000.0,343277000.0,487845500.0,487845500.0,487845500.0,487845500.0,487845500.0,487845500.0,487845500.0,487845500.0,487845500.0,487845500.0,487845500.0,487845500.0,283907500.0,283907500.0,283907500.0,283907500.0,283907500.0,283907500.0,283907500.0,283907500.0,283907500.0,283907500.0,283907500.0,283907500.0
55.0,307179000.0,307179000.0,307179000.0,307179000.0,307179000.0,307179000.0,307179000.0,307179000.0,307179000.0,307179000.0,307179000.0,307179000.0,369656500.0,369656500.0,369656500.0,369656500.0,369656500.0,369656500.0,369656500.0,369656500.0,369656500.0,369656500.0,369656500.0,369656500.0,432067000.0,432067000.0,432067000.0,432067000.0,432067000.0,432067000.0,432067000.0,432067000.0,432067000.0,432067000.0,432067000.0,432067000.0,489383000.0,489383000.0,489383000.0,489383000.0,489383000.0,489383000.0,489383000.0,489383000.0,489383000.0,489383000.0,489383000.0,489383000.0,212173500.0,212173500.0,212173500.0,212173500.0,212173500.0,212173500.0,212173500.0,212173500.0,212173500.0,212173500.0,212173500.0,212173500.0
