seriesCode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
gci11_Lonline,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000,4948887000
gci11_Lforgery,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000,39000000
gci11_Lolsafety,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000,79195000
gci12_Rpdp,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000,462917000
gci12_Rprivacy,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000,486530000
gci12_Rnotif,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000,815498000
gci12_RAuditre,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000,561720000
gci12_Rstandard,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000,2330601000
gci12_Rsign,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000,438909000
gci12_Rspam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci12_Rciip,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000,330522000
gci12_Rcop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci21_NatCsirt,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11,4.52E+11
gci21_Nactivity,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000,3911248000
gci21_Nfirst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci21_NregCisrt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci22_Scsirt,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000,14385344000
gci22_Sactivity,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000,1499630000
gci23_FStandard,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000,957422000
gci23_Fciip,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000,1427025000
gci31_Nstrategy,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000,64998000
gci31_Npriority,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000,442759000
gci32_Acyber,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11,2.52E+11
gci32_Aciip,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000,7742607000
gci32_Acapacity,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000,2377695000
gci32_Acop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gci33_Maudit,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000,2593949000
gci33_Mrisk,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000,1110583000
